-88.500, -115.071, 66.727, 4452.450
-82.000, -101.264, 66.522, 4425.154
-80.000, -110.079, 74.719, 5582.919
-79.500, -109.977, 69.515, 4832.394
-81.000, -103.957, 68.443, 4684.473
-77.000, -110.870, 76.570, 5862.891
-88.000, -110.652, 60.879, 3706.225
-87.000, -109.116, 63.617, 4047.147
-94.000, -109.515, 55.318, 3060.038
-90.000, -102.268, 52.097, 2714.056
-89.000, -109.021, 56.530, 3195.637
-90.000, -111.642, 65.669, 4312.400
-88.500, -112.118, 61.553, 3788.822
-90.000, -111.574, 57.921, 3354.899
-93.000, -113.176, 57.696, 3328.881
-94.500, -111.808, 55.646, 3096.431
