4.213, 0.000, 58.000, -102.000, -108.736, 21.530, 463.520, 108.736
4.343, 0.000, 52.000, -101.500, -109.055, 23.941, 573.158, 109.055
4.403, 0.000, 60.000, -106.500, -110.513, 23.004, 529.188, 110.513
4.517, 0.000, 48.000, -100.000, -109.030, 29.193, 852.227, 109.030
4.560, 0.000, 52.000, -102.000, -109.259, 28.761, 827.172, 109.259
4.565, 0.000, 54.000, -99.000, -109.310, 32.472, 1054.456, 109.310
4.568, 0.000, 55.000, -99.000, -108.477, 30.850, 951.739, 108.477
4.522, 0.000, 49.000, -98.500, -105.101, 27.617, 762.679, 105.101
4.345, 0.000, 56.000, -109.000, -111.437, 20.746, 430.388, 111.437
4.493, 0.000, 46.000, -99.000, -107.529, 28.559, 815.605, 107.529
4.602, 0.000, 51.000, -100.000, -110.329, 32.277, 1041.797, 110.329
4.618, 0.000, 51.000, -100.000, -109.708, 31.295, 979.403, 109.708
4.632, 0.000, 50.000, -98.000, -108.159, 33.041, 1091.720, 108.159
4.504, 0.000, 46.000, -97.000, -108.098, 30.871, 953.008, 108.098
4.559, 0.000, 45.000, -97.000, -108.720, 32.385, 1048.814, 108.720
4.526, 0.000, 53.000, -100.000, -109.961, 29.821, 889.265, 109.961
4.582, 0.000, 50.000, -98.000, -107.840, 30.758, 946.078, 107.840
4.519, 0.000, 45.000, -99.000, -111.256, 32.739, 1071.854, 111.256
