-108.000, -181.585, 502.090, 252094.230, 185.257
-102.000, -112.140, 38.950, 1517.108, 112.140
-99.000, -111.946, 43.984, 1934.578, 111.946
-100.000, -113.306, 49.945, 2494.553, 113.306
-97.500, -113.130, 53.611, 2874.138, 113.130
-100.000, -109.318, 33.927, 1151.038, 109.318
-103.000, -110.973, 34.110, 1163.460, 110.973
-104.000, -113.054, 37.951, 1440.243, 113.054
-102.000, -112.898, 44.180, 1951.895, 112.898
-107.000, -111.796, 34.169, 1167.491, 111.796
